Kjøper,Postnr.,Latitude,Longitude,cleaned_postal_code
ASKIM AUTO AS,1831,59.5822,11.1527,1831
ARUS BIL AS,3520,60.2802,10.3923,3520
BILLAGERET AS,2323,60.8273,11.1324,2323
S.K MOTOR SENTER AS,3414,59.7553,10.2565,3414
SØRLANDET AUTO AS,4847,58.4615,8.7725,4847
AASEN AUTO,2213,60.1905,11.9977,2213
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
A AUTOPARK AS,3160,59.227,10.2856,3160
BRUMUNDDAL BILPLEIE OG BYGGESERVICE AS,2383,60.8809,10.9395,2383
1000 FIX,2322,60.8013,11.1305,2322
VORTEX BIL & BUSS AS,1349,59.9284,10.4726,1349
AUTOMOTOR AS,3735,59.1769,9.6167,3735
KM AUTO AS (NY),3018,59.749,10.1832,3018
I. H. SERVICE AS,2055,60.1863,11.256,2055
JuTo Bil AS,1476,59.9184,10.9381,1476
AUTOMOTORS AS,0581,59.9127,10.7461,0581
AUTO SYD AS,7032,63.4305,10.3951,7032
NYHAGEN SALG OG SERVICE,2323,60.8273,11.1324,2323
AUTO X STAVANGER AS,4031,58.9701,5.7333,4031
AUTOMOBIL 1 AS,0665,59.9127,10.7461,0665
BILER ZDRAVKOVIC,1850,59.6019,11.3933,1850
AUTO X STAVANGER AS,4031,58.9701,5.7333,4031
